Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,AgeofCar,Brand
2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,2090.8,14,Maruti
2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,14934.29,9,Hyundai
2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,5376.34,13,Honda
2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,7168.46,12,Maruti
2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,21194.74,11,Audi
2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,2807.65,12,Hyundai
2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4181.6,11,Nissan
2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,20908.0,8,Toyota
2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,6212.66,11,Volkswagen
2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,2329.75,12,Tata
2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,11887.69,6,Maruti
2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,5364.4,12,Honda
2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6690.56,9,Maruti
2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,32258.06,10,Land Rover
2012,85000,Diesel,Automatic,Second,18.342252479408305,2179.0,115.0,5.0,20908.0,12,Land Rover
2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,17921.15,10,Mitsubishi
2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,6451.61,8,Honda
2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7156.51,7,Maruti
2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,7574.67,10,Renault
2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,33452.81,10,Mercedes-Benz
2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,22162.49,10,BMW
2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,9856.63,9,Maruti
2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,28076.46,9,Audi
2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,2234.17,14,Hyundai
2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,3405.02,14,Volkswagen
2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,5077.66,12,Honda
2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,5077.66,12,Nissan
2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,3285.54,11,Maruti
2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,11827.96,6,Honda
2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4778.97,17,Toyota
2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,9259.26,11,Renault
